"","X","POLY_ID","Species","Product","sum","Link","POLY_ID.1","Species.1","total","percentage","join"
"1",1,"437-01","AT","Large Sawlog",820,"AT437-01","437-01","AT",14908,5.5004024684733,"437-01ATLarge Sawlog"
"2",2,"437-01","AT","Small Sawlog",14088,"AT437-01","437-01","AT",14908,94.4995975315267,"437-01ATSmall Sawlog"
"3",3,"437-01","B","Large Sawlog",3785,"B437-01","437-01","B",111227,3.40295072239654,"437-01BLarge Sawlog"
"4",4,"437-01","B","Small Sawlog",52890,"B437-01","437-01","B",111227,47.5514038857472,"437-01BSmall Sawlog"
"5",5,"437-01","B","Stud",54552,"B437-01","437-01","B",111227,49.0456453918563,"437-01BStud"
"6",6,"437-01","C","Large Sawlog",19720,"C437-01","437-01","C",351484,5.61049720613172,"437-01CLarge Sawlog"
"7",7,"437-01","C","Small Sawlog",331764,"C437-01","437-01","C",351484,94.3895027938683,"437-01CSmall Sawlog"
"8",8,"437-01","DF","Large Sawlog",75760,"DF437-01","437-01","DF",648232,11.6871737279246,"437-01DFLarge Sawlog"
"9",9,"437-01","DF","Small Sawlog",318162,"DF437-01","437-01","DF",648232,49.0815016845821,"437-01DFSmall Sawlog"
"10",10,"437-01","DF","Stud",254310,"DF437-01","437-01","DF",648232,39.2313245874934,"437-01DFStud"
"11",11,"437-01","EP","Large Sawlog",10,"EP437-01","437-01","EP",3736,0.267665952890792,"437-01EPLarge Sawlog"
"12",12,"437-01","EP","Small Sawlog",3726,"EP437-01","437-01","EP",3736,99.7323340471092,"437-01EPSmall Sawlog"
"13",13,"437-01","H","Small Sawlog",48,"H437-01","437-01","H",48,100,"437-01HSmall Sawlog"
"14",14,"437-01","PL","Large Sawlog",8815,"PL437-01","437-01","PL",230038,3.83197558664221,"437-01PLLarge Sawlog"
"15",15,"437-01","PL","Small Sawlog",92646,"PL437-01","437-01","PL",230038,40.274215564385,"437-01PLSmall Sawlog"
"16",16,"437-01","PL","Stud",128577,"PL437-01","437-01","PL",230038,55.8938088489728,"437-01PLStud"
"17",17,"437-05","AT","Large Sawlog",492,"AT437-05","437-05","AT",12232,4.0222367560497,"437-05ATLarge Sawlog"
"18",18,"437-05","AT","Small Sawlog",11740,"AT437-05","437-05","AT",12232,95.9777632439503,"437-05ATSmall Sawlog"
"19",19,"437-05","B","Large Sawlog",2271,"B437-05","437-05","B",82714,2.74560533887855,"437-05BLarge Sawlog"
"20",20,"437-05","B","Small Sawlog",44075,"B437-05","437-05","B",82714,53.2860217133738,"437-05BSmall Sawlog"
